Unique Key,Created Date,Closed Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Borough,Status,Resolution Description
27,08/03/2023 12:00:00 AM,08/21/2023 12:00:00 AM,DOB,Building/Use,Descriptor for Street Condition,Commercial Building,10301,BROOKLYN,Pending,Resolution for complaint 26
28,04/23/2023 12:00:00 AM,05/01/2023 12:00:00 AM,DEP,Blocked Driveway,Descriptor for Paint/Plaster,Commercial Building,10451,BROOKLYN,Pending,Resolution for complaint 27
29,08/18/2023 12:00:00 AM,10/25/2023 12:00:00 AM,DOT,Building/Use,Descriptor for Illegal Parking,School,10451,QUEENS,Open,
30,10/29/2023 12:00:00 AM,11/18/2023 12:00:00 AM,DPR,Sanitation Condition,Descriptor for Heat/Hot Water,Residential Building,10002,BROOKLYN,In Progress,Resolution for complaint 29
31,05/23/2023 12:00:00 AM,11/01/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Blocked Driveway,Residential Building,10001,BRONX,Pending,Resolution for complaint 30
32,01/04/2023 12:00:00 AM,,DPR,Heat/Hot Water,Descriptor for Building/Use,School,10001,QUEENS,Pending,Resolution for complaint 31
33,03/23/2023 12:00:00 AM,,DOB,Paint/Plaster,Descriptor for Street Condition,School,10001,STATEN ISLAND,Closed,Resolution for complaint 32
34,12/24/2023 12:00:00 AM,10/21/2023 12:00:00 AM,DOB,Water System,Descriptor for Illegal Parking,Residential Building,10001,MANHATTAN,Open,Resolution for complaint 33
35,08/05/2023 12:00:00 AM,01/01/2024 12:00:00 AM,NYPD,Graffiti,Descriptor for Plumbing,Park/Playground,11372,MANHATTAN,In Progress,Resolution for complaint 34
36,06/24/2023 12:00:00 AM,05/07/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Heat/Hot Water,Street/Sidewalk,10002,BRONX,Pending,Resolution for complaint 35
37,05/23/2023 12:00:00 AM,,HPD,Blocked Driveway,Descriptor for Blocked Driveway,School,10002,BROOKLYN,Open,Resolution for complaint 36
38,03/21/2023 12:00:00 AM,04/09/2023 12:00:00 AM,DPR,Noise - Residential,Descriptor for Paint/Plaster,Commercial Building,10451,QUEENS,In Progress,Resolution for complaint 37
39,04/21/2023 12:00:00 AM,07/04/2023 12:00:00 AM,NYPD,Traffic Signal Condition,Descriptor for Plumbing,Commercial Building,10003,STATEN ISLAND,In Progress,Resolution for complaint 38
40,06/22/2023 12:00:00 AM,03/17/2023 12:00:00 AM,DPR,Graffiti,Descriptor for Traffic Signal Condition,School,11215,BRONX,In Progress,Resolution for complaint 39
41,02/22/2023 12:00:00 AM,07/30/2023 12:00:00 AM,DOT,Rodent,Descriptor for Rodent,Commercial Building,10301,STATEN ISLAND,In Progress,
42,02/17/2023 12:00:00 AM,,DOB,Street Light Condition,Descriptor for Paint/Plaster,School,11201,BRONX,Open,Resolution for complaint 41
43,07/14/2023 12:00:00 AM,,DOT,Water System,Descriptor for Plumbing,Park/Playground,11201,MANHATTAN,Closed,Resolution for complaint 42
44,02/19/2023 12:00:00 AM,09/01/2023 12:00:00 AM,DOB,Sanitation Condition,Descriptor for Blocked Driveway,Commercial Building,11201,STATEN ISLAND,Pending,Resolution for complaint 43
45,07/03/2023 12:00:00 AM,,DPR,Water System,Descriptor for Air Quality,School,11215,QUEENS,Pending,
46,06/26/2023 12:00:00 AM,,HPD,Plumbing,Descriptor for Building/Use,Commercial Building,10002,MANHATTAN,Open,Resolution for complaint 45
47,11/06/2023 12:00:00 AM,07/26/2023 12:00:00 AM,DEP,Traffic Signal Condition,Descriptor for Blocked Driveway,Residential Building,11215,MANHATTAN,Pending,Resolution for complaint 46
48,05/16/2023 12:00:00 AM,09/23/2023 12:00:00 AM,DOB,Rodent,Descriptor for Air Quality,Residential Building,10001,QUEENS,Pending,Resolution for complaint 47
49,01/23/2023 12:00:00 AM,05/16/2023 12:00:00 AM,FDNY,Rodent,Descriptor for Air Quality,School,10003,BRONX,Closed,Resolution for complaint 48
50,08/24/2023 12:00:00 AM,11/22/2023 12:00:00 AM,DSNY,Rodent,Descriptor for Graffiti,Street/Sidewalk,10451,BRONX,In Progress,Resolution for complaint 49
51,10/02/2023 12:00:00 AM,08/14/2023 12:00:00 AM,FDNY,Plumbing,Descriptor for Traffic Signal Condition,Park/Playground,10451,BRONX,Open,Resolution for complaint 50
52,03/05/2023 12:00:00 AM,09/08/2023 12:00:00 AM,NYPD,Plumbing,Descriptor for Street Condition,Street/Sidewalk,11201,MANHATTAN,Open,Resolution for complaint 51
53,07/13/2023 12:00:00 AM,08/02/2023 12:00:00 AM,DEP,Street Condition,Descriptor for Graffiti,School,10002,BRONX,Closed,
54,02/10/2023 12:00:00 AM,03/15/2023 12:00:00 AM,DPR,Traffic Signal Condition,Descriptor for Paint/Plaster,School,11372,BROOKLYN,Closed,
55,10/10/2023 12:00:00 AM,09/06/2023 12:00:00 AM,FDNY,Water System,Descriptor for Air Quality,Park/Playground,11372,MANHATTAN,Open,Resolution for complaint 54
56,05/31/2023 12:00:00 AM,03/08/2023 12:00:00 AM,NYPD,Rodent,Descriptor for Sanitation Condition,Commercial Building,11372,QUEENS,In Progress,
57,11/18/2023 12:00:00 AM,09/20/2023 12:00:00 AM,HPD,Heat/Hot Water,Descriptor for Street Light Condition,School,10001,STATEN ISLAND,Closed,Resolution for complaint 56
58,11/13/2023 12:00:00 AM,03/02/2023 12:00:00 AM,DSNY,Sanitation Condition,Descriptor for Traffic Signal Condition,Residential Building,10001,BROOKLYN,In Progress,Resolution for complaint 57
59,07/05/2023 12:00:00 AM,08/22/2023 12:00:00 AM,HPD,Rodent,Descriptor for Water System,Park/Playground,10301,STATEN ISLAND,Pending,Resolution for complaint 58
60,10/23/2023 12:00:00 AM,03/22/2023 12:00:00 AM,DPR,Blocked Driveway,Descriptor for Paint/Plaster,Street/Sidewalk,11372,MANHATTAN,Closed,
61,04/09/2023 12:00:00 AM,07/09/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Water System,Residential Building,10301,STATEN ISLAND,In Progress,Resolution for complaint 60
62,12/27/2023 12:00:00 AM,03/02/2023 12:00:00 AM,DOT,Blocked Driveway,Descriptor for Street Condition,Residential Building,11372,BRONX,Open,Resolution for complaint 61
63,02/05/2023 12:00:00 AM,07/29/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Noise - Residential,School,10301,BROOKLYN,Pending,
64,01/24/2023 12:00:00 AM,,NYPD,Traffic Signal Condition,Descriptor for Rodent,Residential Building,11372,BRONX,Pending,Resolution for complaint 63
65,12/05/2023 12:00:00 AM,05/29/2023 12:00:00 AM,FDNY,Heat/Hot Water,Descriptor for Noise - Residential,Commercial Building,10002,STATEN ISLAND,Pending,Resolution for complaint 64
66,04/27/2023 12:00:00 AM,,DOT,Illegal Parking,Descriptor for Street Light Condition,Park/Playground,11201,BRONX,In Progress,Resolution for complaint 65
67,05/29/2023 12:00:00 AM,,DSNY,Street Light Condition,Descriptor for Traffic Signal Condition,Residential Building,10002,MANHATTAN,In Progress,Resolution for complaint 66
68,02/10/2023 12:00:00 AM,07/11/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Street Light Condition,Residential Building,11201,MANHATTAN,In Progress,Resolution for complaint 67
69,04/30/2023 12:00:00 AM,09/06/2023 12:00:00 AM,HPD,Paint/Plaster,Descriptor for Rodent,School,10003,STATEN ISLAND,Closed,Resolution for complaint 68
70,02/21/2023 12:00:00 AM,,DOB,Graffiti,Descriptor for Traffic Signal Condition,Park/Playground,11201,STATEN ISLAND,Closed,
71,07/14/2023 12:00:00 AM,,DOT,Street Light Condition,Descriptor for Air Quality,Commercial Building,10301,MANHATTAN,Pending,
72,05/23/2023 12:00:00 AM,08/04/2023 12:00:00 AM,DOT,Street Condition,Descriptor for Paint/Plaster,Street/Sidewalk,10001,STATEN ISLAND,Pending,Resolution for complaint 71
73,08/21/2023 12:00:00 AM,,DSNY,Traffic Signal Condition,Descriptor for Heat/Hot Water,Commercial Building,11215,BROOKLYN,In Progress,Resolution for complaint 72
74,11/22/2023 12:00:00 AM,05/26/2023 12:00:00 AM,FDNY,Heat/Hot Water,Descriptor for Paint/Plaster,Park/Playground,11215,STATEN ISLAND,Open,Resolution for complaint 73
75,07/06/2023 12:00:00 AM,,DOT,Graffiti,Descriptor for Graffiti,Commercial Building,11215,BROOKLYN,In Progress,Resolution for complaint 74
76,03/25/2023 12:00:00 AM,09/08/2023 12:00:00 AM,DSNY,Plumbing,Descriptor for Illegal Parking,Street/Sidewalk,10451,QUEENS,Open,Resolution for complaint 75
77,07/09/2023 12:00:00 AM,,HPD,Water System,Descriptor for Street Light Condition,School,11372,QUEENS,Pending,Resolution for complaint 76
78,07/01/2023 12:00:00 AM,02/04/2023 12:00:00 AM,DPR,Water System,Descriptor for Illegal Parking,Street/Sidewalk,10001,MANHATTAN,Open,
79,04/18/2023 12:00:00 AM,08/02/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Heat/Hot Water,Commercial Building,10002,BROOKLYN,Pending,Resolution for complaint 78
80,12/10/2023 12:00:00 AM,06/08/2023 12:00:00 AM,FDNY,Street Light Condition,Descriptor for Air Quality,Commercial Building,11201,BRONX,Open,Resolution for complaint 79
81,05/17/2023 12:00:00 AM,06/22/2023 12:00:00 AM,FDNY,Traffic Signal Condition,Descriptor for Street Condition,Commercial Building,10002,MANHATTAN,Open,Resolution for complaint 80
82,12/26/2023 12:00:00 AM,09/01/2023 12:00:00 AM,HPD,Heat/Hot Water,Descriptor for Air Quality,Park/Playground,11201,STATEN ISLAND,Pending,Resolution for complaint 81
83,12/16/2023 12:00:00 AM,11/07/2023 12:00:00 AM,DOT,Graffiti,Descriptor for Paint/Plaster,School,11372,BROOKLYN,Open,
84,11/28/2023 12:00:00 AM,,HPD,Street Condition,Descriptor for Heat/Hot Water,Residential Building,11215,QUEENS,In Progress,Resolution for complaint 83
85,02/06/2023 12:00:00 AM,,DPR,Illegal Parking,Descriptor for Graffiti,School,10002,STATEN ISLAND,Closed,Resolution for complaint 84
86,11/08/2023 12:00:00 AM,08/19/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Plumbing,Commercial Building,11215,STATEN ISLAND,Closed,Resolution for complaint 85
87,11/22/2023 12:00:00 AM,03/18/2023 12:00:00 AM,NYPD,Blocked Driveway,Descriptor for Noise - Residential,Park/Playground,10003,STATEN ISLAND,Pending,Resolution for complaint 86
88,03/29/2023 12:00:00 AM,06/16/2023 12:00:00 AM,DPR,Sanitation Condition,Descriptor for Graffiti,School,11201,BRONX,Open,Resolution for complaint 87
89,10/01/2023 12:00:00 AM,,DSNY,Heat/Hot Water,Descriptor for Water System,Residential Building,10003,QUEENS,Pending,Resolution for complaint 88
90,05/06/2023 12:00:00 AM,11/16/2023 12:00:00 AM,DSNY,Rodent,Descriptor for Blocked Driveway,Residential Building,10451,BROOKLYN,Closed,Resolution for complaint 89
91,03/25/2023 12:00:00 AM,04/30/2023 12:00:00 AM,FDNY,Street Light Condition,Descriptor for Plumbing,Residential Building,11215,QUEENS,Open,Resolution for complaint 90
92,08/25/2023 12:00:00 AM,06/23/2023 12:00:00 AM,NYPD,Noise - Residential,Descriptor for Building/Use,Commercial Building,11372,QUEENS,In Progress,Resolution for complaint 91
93,07/14/2023 12:00:00 AM,12/10/2023 12:00:00 AM,NYPD,Graffiti,Descriptor for Heat/Hot Water,School,10301,MANHATTAN,Open,Resolution for complaint 92
94,05/19/2023 12:00:00 AM,05/23/2023 12:00:00 AM,DEP,Heat/Hot Water,Descriptor for Water System,Residential Building,10001,STATEN ISLAND,In Progress,Resolution for complaint 93
95,11/24/2023 12:00:00 AM,03/26/2023 12:00:00 AM,FDNY,Heat/Hot Water,Descriptor for Building/Use,Street/Sidewalk,10002,QUEENS,Open,Resolution for complaint 94
96,12/19/2023 12:00:00 AM,10/20/2023 12:00:00 AM,DEP,Illegal Parking,Descriptor for Graffiti,Street/Sidewalk,10301,STATEN ISLAND,Pending,Resolution for complaint 95
97,10/13/2023 12:00:00 AM,12/29/2023 12:00:00 AM,DPR,Noise - Residential,Descriptor for Air Quality,Park/Playground,10301,QUEENS,In Progress,
98,04/23/2023 12:00:00 AM,11/27/2023 12:00:00 AM,HPD,Rodent,Descriptor for Water System,Street/Sidewalk,11201,BROOKLYN,Closed,Resolution for complaint 97
99,12/17/2023 12:00:00 AM,,NYPD,Street Condition,Descriptor for Paint/Plaster,Commercial Building,11201,MANHATTAN,Open,Resolution for complaint 98
100,06/16/2023 12:00:00 AM,04/09/2023 12:00:00 AM,DOB,Graffiti,Descriptor for Heat/Hot Water,Street/Sidewalk,10301,QUEENS,Closed,Resolution for complaint 99
101,01/29/2023 12:00:00 AM,10/05/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Graffiti,Commercial Building,10001,STATEN ISLAND,Closed,Resolution for complaint 100
102,04/28/2023 12:00:00 AM,01/28/2023 12:00:00 AM,FDNY,Illegal Parking,Descriptor for Plumbing,School,10002,QUEENS,Pending,
103,01/17/2023 12:00:00 AM,09/25/2023 12:00:00 AM,DPR,Heat/Hot Water,Descriptor for Street Condition,Commercial Building,10001,QUEENS,Closed,
104,06/11/2023 12:00:00 AM,,DOB,Street Condition,Descriptor for Noise - Residential,Park/Playground,10451,STATEN ISLAND,Pending,Resolution for complaint 103
105,07/25/2023 12:00:00 AM,01/10/2023 12:00:00 AM,DPR,Plumbing,Descriptor for Building/Use,Residential Building,11372,BROOKLYN,In Progress,
106,05/18/2023 12:00:00 AM,,FDNY,Building/Use,Descriptor for Water System,Residential Building,11201,STATEN ISLAND,Pending,
107,02/03/2023 12:00:00 AM,04/03/2023 12:00:00 AM,NYPD,Graffiti,Descriptor for Water System,Street/Sidewalk,10451,BRONX,Open,Resolution for complaint 106
108,04/19/2023 12:00:00 AM,05/21/2023 12:00:00 AM,NYPD,Rodent,Descriptor for Air Quality,Commercial Building,10001,BRONX,In Progress,Resolution for complaint 107
109,10/18/2023 12:00:00 AM,05/06/2023 12:00:00 AM,DOB,Air Quality,Descriptor for Heat/Hot Water,Residential Building,11372,BRONX,Closed,Resolution for complaint 108
110,06/11/2023 12:00:00 AM,10/24/2023 12:00:00 AM,DOB,Blocked Driveway,Descriptor for Street Condition,School,11215,QUEENS,Pending,
111,04/19/2023 12:00:00 AM,10/01/2023 12:00:00 AM,DPR,Graffiti,Descriptor for Blocked Driveway,Residential Building,10301,BRONX,Pending,Resolution for complaint 110
112,12/02/2023 12:00:00 AM,07/25/2023 12:00:00 AM,HPD,Illegal Parking,Descriptor for Plumbing,Park/Playground,10002,BRONX,In Progress,Resolution for complaint 111
113,09/13/2023 12:00:00 AM,09/09/2023 12:00:00 AM,DPR,Water System,Descriptor for Water System,Park/Playground,10003,QUEENS,Closed,Resolution for complaint 112
114,07/22/2023 12:00:00 AM,01/12/2023 12:00:00 AM,DPR,Blocked Driveway,Descriptor for Water System,Street/Sidewalk,10301,BROOKLYN,Open,Resolution for complaint 113
115,11/26/2023 12:00:00 AM,04/03/2023 12:00:00 AM,NYPD,Rodent,Descriptor for Street Condition,Commercial Building,11201,STATEN ISLAND,Closed,Resolution for complaint 114
116,08/23/2023 12:00:00 AM,09/28/2023 12:00:00 AM,DOT,Water System,Descriptor for Street Light Condition,Commercial Building,10002,BRONX,In Progress,Resolution for complaint 115
117,03/15/2023 12:00:00 AM,05/12/2023 12:00:00 AM,DSNY,Graffiti,Descriptor for Street Light Condition,Park/Playground,10001,BRONX,Open,Resolution for complaint 116
118,05/16/2023 12:00:00 AM,,NYPD,Sanitation Condition,Descriptor for Rodent,Residential Building,10003,STATEN ISLAND,In Progress,Resolution for complaint 117
119,03/13/2023 12:00:00 AM,10/05/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Sanitation Condition,School,10451,STATEN ISLAND,Pending,Resolution for complaint 118
120,05/07/2023 12:00:00 AM,,DOB,Sanitation Condition,Descriptor for Street Light Condition,Commercial Building,10003,MANHATTAN,In Progress,
121,10/15/2023 12:00:00 AM,,DOB,Blocked Driveway,Descriptor for Blocked Driveway,Park/Playground,10301,QUEENS,Open,Resolution for complaint 120
122,10/03/2023 12:00:00 AM,,DOB,Blocked Driveway,Descriptor for Traffic Signal Condition,Park/Playground,10301,QUEENS,Open,Resolution for complaint 121
123,05/15/2023 12:00:00 AM,,HPD,Graffiti,Descriptor for Graffiti,Street/Sidewalk,11372,BROOKLYN,Open,Resolution for complaint 122
124,10/27/2023 12:00:00 AM,07/28/2023 12:00:00 AM,DOB,Sanitation Condition,Descriptor for Air Quality,Commercial Building,10451,STATEN ISLAND,Closed,Resolution for complaint 123
125,08/08/2023 12:00:00 AM,01/31/2023 12:00:00 AM,DPR,Graffiti,Descriptor for Plumbing,School,10001,BROOKLYN,Closed,Resolution for complaint 124
126,10/26/2023 12:00:00 AM,06/16/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Sanitation Condition,Park/Playground,10451,QUEENS,In Progress,Resolution for complaint 125
127,07/24/2023 12:00:00 AM,,DOB,Graffiti,Descriptor for Traffic Signal Condition,Park/Playground,10001,MANHATTAN,Closed,
128,07/05/2023 12:00:00 AM,06/02/2023 12:00:00 AM,DSNY,Water System,Descriptor for Water System,Commercial Building,11215,BROOKLYN,Closed,
129,04/23/2023 12:00:00 AM,06/13/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Sanitation Condition,Park/Playground,10002,BROOKLYN,Open,Resolution for complaint 128
130,03/12/2023 12:00:00 AM,,DPR,Blocked Driveway,Descriptor for Street Condition,Park/Playground,10451,BRONX,In Progress,Resolution for complaint 129
131,09/18/2023 12:00:00 AM,05/13/2023 12:00:00 AM,NYPD,Plumbing,Descriptor for Water System,Street/Sidewalk,10451,BROOKLYN,Pending,Resolution for complaint 130
132,09/10/2023 12:00:00 AM,03/03/2023 12:00:00 AM,DEP,Paint/Plaster,Descriptor for Heat/Hot Water,Residential Building,10001,BROOKLYN,Open,Resolution for complaint 131
133,02/16/2023 12:00:00 AM,,DEP,Building/Use,Descriptor for Street Light Condition,School,11372,BROOKLYN,In Progress,Resolution for complaint 132
134,01/25/2023 12:00:00 AM,,DEP,Heat/Hot Water,Descriptor for Street Light Condition,Street/Sidewalk,10451,BRONX,Pending,Resolution for complaint 133
135,02/26/2023 12:00:00 AM,05/02/2023 12:00:00 AM,HPD,Street Light Condition,Descriptor for Building/Use,Commercial Building,10451,QUEENS,Closed,Resolution for complaint 134
136,03/20/2023 12:00:00 AM,09/16/2023 12:00:00 AM,DEP,Illegal Parking,Descriptor for Traffic Signal Condition,Park/Playground,10002,MANHATTAN,Open,Resolution for complaint 135
137,11/18/2023 12:00:00 AM,02/28/2023 12:00:00 AM,DOB,Air Quality,Descriptor for Air Quality,Street/Sidewalk,10002,STATEN ISLAND,Open,Resolution for complaint 136
138,03/23/2023 12:00:00 AM,,NYPD,Blocked Driveway,Descriptor for Graffiti,School,10003,MANHATTAN,Open,Resolution for complaint 137
139,12/15/2023 12:00:00 AM,10/11/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Heat/Hot Water,School,10003,STATEN ISLAND,Pending,Resolution for complaint 138
140,08/05/2023 12:00:00 AM,09/05/2023 12:00:00 AM,DOT,Blocked Driveway,Descriptor for Building/Use,Residential Building,10002,QUEENS,Open,Resolution for complaint 139
141,11/02/2023 12:00:00 AM,,DEP,Street Condition,Descriptor for Illegal Parking,School,10001,QUEENS,Open,Resolution for complaint 140
142,02/02/2023 12:00:00 AM,01/10/2023 12:00:00 AM,DOT,Illegal Parking,Descriptor for Graffiti,Residential Building,10301,QUEENS,Pending,Resolution for complaint 141
143,07/17/2023 12:00:00 AM,,DEP,Graffiti,Descriptor for Sanitation Condition,Residential Building,11372,STATEN ISLAND,Pending,Resolution for complaint 142
144,07/15/2023 12:00:00 AM,12/12/2023 12:00:00 AM,DPR,Building/Use,Descriptor for Building/Use,Residential Building,10451,STATEN ISLAND,Pending,Resolution for complaint 143
145,11/02/2023 12:00:00 AM,,HPD,Air Quality,Descriptor for Paint/Plaster,Park/Playground,11215,MANHATTAN,In Progress,Resolution for complaint 144
146,08/28/2023 12:00:00 AM,11/30/2023 12:00:00 AM,DOT,Graffiti,Descriptor for Rodent,Street/Sidewalk,11201,BROOKLYN,Open,Resolution for complaint 145
147,09/28/2023 12:00:00 AM,06/05/2023 12:00:00 AM,DSNY,Water System,Descriptor for Noise - Residential,Commercial Building,11372,MANHATTAN,Open,Resolution for complaint 146
148,05/09/2023 12:00:00 AM,08/17/2023 12:00:00 AM,NYPD,Blocked Driveway,Descriptor for Water System,Park/Playground,11201,STATEN ISLAND,Pending,Resolution for complaint 147
149,10/11/2023 12:00:00 AM,,DOB,Illegal Parking,Descriptor for Traffic Signal Condition,Commercial Building,10001,QUEENS,In Progress,Resolution for complaint 148
150,01/06/2023 12:00:00 AM,04/15/2023 12:00:00 AM,HPD,Rodent,Descriptor for Rodent,Residential Building,10301,BROOKLYN,Closed,Resolution for complaint 149
151,12/15/2023 12:00:00 AM,03/14/2023 12:00:00 AM,NYPD,Plumbing,Descriptor for Paint/Plaster,School,11372,BRONX,In Progress,Resolution for complaint 150
152,02/28/2023 12:00:00 AM,03/28/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Building/Use,Residential Building,11201,BROOKLYN,Pending,Resolution for complaint 151
153,12/16/2023 12:00:00 AM,10/03/2023 12:00:00 AM,DPR,Air Quality,Descriptor for Plumbing,Commercial Building,11201,QUEENS,Closed,Resolution for complaint 152
154,10/02/2023 12:00:00 AM,10/12/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Blocked Driveway,Street/Sidewalk,10451,STATEN ISLAND,In Progress,Resolution for complaint 153
155,05/17/2023 12:00:00 AM,01/01/2023 12:00:00 AM,DOB,Building/Use,Descriptor for Noise - Residential,Residential Building,11201,STATEN ISLAND,Closed,Resolution for complaint 154
156,11/25/2023 12:00:00 AM,11/14/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Traffic Signal Condition,Street/Sidewalk,10002,MANHATTAN,Pending,Resolution for complaint 155
157,06/24/2023 12:00:00 AM,,DOT,Paint/Plaster,Descriptor for Illegal Parking,Street/Sidewalk,11215,STATEN ISLAND,Pending,Resolution for complaint 156
158,02/27/2023 12:00:00 AM,01/01/2023 12:00:00 AM,HPD,Plumbing,Descriptor for Air Quality,Street/Sidewalk,10003,BROOKLYN,Pending,Resolution for complaint 157
159,05/31/2023 12:00:00 AM,,DPR,Noise - Residential,Descriptor for Rodent,Residential Building,10451,MANHATTAN,In Progress,Resolution for complaint 158
160,08/11/2023 12:00:00 AM,05/20/2023 12:00:00 AM,DPR,Water System,Descriptor for Air Quality,Commercial Building,10002,QUEENS,Closed,
161,03/22/2023 12:00:00 AM,12/15/2023 12:00:00 AM,DPR,Air Quality,Descriptor for Illegal Parking,School,10451,BRONX,Open,Resolution for complaint 160
162,08/21/2023 12:00:00 AM,06/29/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Paint/Plaster,Park/Playground,10002,STATEN ISLAND,In Progress,Resolution for complaint 161
163,01/02/2023 12:00:00 AM,04/19/2023 12:00:00 AM,DSNY,Traffic Signal Condition,Descriptor for Illegal Parking,Commercial Building,10301,BRONX,Closed,Resolution for complaint 162
